SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;cod_rete;comune;provincia;nome_rete;area;cod_reg;Comments;State
660;16148;Cervia;12.3;44.22;6;NA;6;EMILIA-ROMAGNA;16148;1;CESENA;FORLI-CESENA;NA;nord;8;NA;Italy
661;16149;Rimini;12.61667;44.03;12;NA;12;EMILIA-ROMAGNA;16149;1;RIMINI;RIMINI;NA;nord;8;NA;Italy
662;16150;Imperia-Dcp;8.03333;43.89;NA;NA;NA;LIGURIA;16150;1;IMPERIA;IMPERIA;NA;nord;7;NA;Italy
662;16150;Imperia-Dcp;8.03333;43.89;52;NA;52;NA;16150;1;NA;NA;NA;NA;NA;NA;Italy
663;16153;Capo Mele;8.16667;43.95;220;NA;220;LIGURIA;16153;1;LAIGUEGLIA;SAVONA;NA;nord;7;NA;Italy
664;16158;Pisa/S. Giusto;10.38333;43.68;2;NA;2;TOSCANA;16158;1;PISA;PISA;NA;centro;9;NA;Italy
665;16164;Volterra;10.86667;43.4;555;NA;555;TOSCANA;16164;1;VOLTERRA;PISA;NA;centro;9;NA;Italy
666;16168;Monte Argentario;11.16667;42.38;630;NA;630;TOSCANA;16168;1;MONTE ARGENTARIO;GROSSETO;NA;centro;9;NA;Italy
667;16170;Firenze/Peretola;11.2;43.8;40;NA;40;TOSCANA;16170;1;FIRENZE;FIRENZE;NA;centro;9;NA;Italy
668;16172;Arezzo;11.85;43.48;248;NA;248;TOSCANA;16172;1;AREZZO;AREZZO;NA;centro;9;NA;Italy
669;16179;Frontone;12.73333;43.52;570;NA;570;MARCHE;16179;1;FRONTONE;PESARO E URBINO;NA;centro;11;NA;Italy
670;16181;Perugia;12.5;43.08;208;NA;208;UMBRIA;16181;1;BASTIA;PERUGIA;NA;centro;10;NA;Italy
671;16191;Falconara;13.36667;43.63;12;NA;12;MARCHE;16191;1;FALCONARA MARITTIMA;ANCONA;NA;centro;11;NA;Italy
672;16197;M. Calamita;10.4;42.74;396;NA;396;TOSCANA;16197;1;CAPOLIVERI;LIVORNO;NA;centro;9;NA;Italy
673;16204;Radicofani;11.76667;42.9;816;NA;816;TOSCANA;16204;1;RADICOFANI;SIENA;NA;centro;9;NA;Italy
674;16206;Grosseto;11.06667;42.75;5;NA;5;TOSCANA;16206;1;GROSSETO;GROSSETO;NA;centro;9;NA;Italy
675;16214;Civitavecchia;11.83333;42.03;3;NA;3;LAZIO;16214;1;CIVITAVECCHIA;ROMA;NA;centro;12;NA;Italy
676;16216;Viterbo;12.05;42.44;300;NA;300;LAZIO;16216;1;VITERBO;VITERBO;NA;centro;12;NA;Italy
677;16219;Monte Terminillo;12.98333;42.48;1874;NA;1874;LAZIO;16219;1;CANTALICE;RIETI;NA;centro;12;NA;Italy
678;16221;Rieti;12.85;42.42;389;NA;389;LAZIO;16221;1;RIETI;RIETI;NA;centro;12;NA;Italy
679;16224;Vigna di Valle;12.21667;42.08;262;NA;262;LAZIO;16224;1;BRACCIANO;ROMA;NA;centro;12;NA;Italy
681;16228;L'Aquila/Preturo;13.3;42.37;665;NA;665;ABRUZZO;16228;1;L'AQUILA;L'AQUILA;NA;centro;13;NA;Italy
682;16230;Pescara;14.2;42.44;10;NA;10;ABRUZZO;16230;1;PESCARA;PESCARA;NA;centro;13;NA;Italy
683;16232;Termoli;15;42;16;NA;16;MOLISE;16232;1;TERMOLI;CAMPOBASSO;NA;centro;14;NA;Italy
684;16234;Guidonia;12.73333;42;88;NA;88;LAZIO;16234;1;GUIDONIA MONTECELIO;ROMA;NA;centro;12;NA;Italy
685;16235;Roma/Urbe;12.5;41.95;18;NA;18;LAZIO;16235;1;FIUMICINO;ROMA;NA;centro;12;NA;Italy
686;16239;Roma/Ciampino;12.58333;41.78;129;NA;129;LAZIO;16239;1;FIUMICINO;ROMA;NA;centro;12;NA;Italy
687;16242;Roma/Fiumicino;12.23333;41.8;2;NA;2;LAZIO;16242;1;FIUMICINO;ROMA;NA;centro;12;NA;Italy
688;16243;Latina;12.9;41.55;25;NA;25;LAZIO;16243;1;LATINA;LATINA;NA;centro;12;NA;Italy
689;16244;Frosinone;13.3;41.63;180;NA;180;LAZIO;16244;1;FROSINONE;FROSINONE;NA;centro;12;NA;Italy
690;16245;Pratica di mare;12.43333;41.65;6;NA;6;LAZIO;16245;1;POMEZIA;ROMA;NA;centro;12;NA;Italy
691;16252;Campobasso;14.65;41.57;793;NA;793;MOLISE;16252;1;CAMPOBASSO;CAMPOBASSO;NA;centro;14;NA;Italy
692;16253;Grazzanise;14.06667;41.06;9;NA;9;CAMPANIA;16253;1;CANCELLO ED ARNONE;CASERTA;NA;sud;15;NA;Italy
693;16258;Monte S.Angelo;15.95;41.71;838;NA;838;PUGLIA;16258;1;MONTE SANT'ANGELO;FOGGIA;NA;sud;16;NA;Italy
694;16261;Foggia/Amendola;15.71667;41.53;57;NA;57;PUGLIA;16261;1;SAN GIOVANNI ROTONDO;FOGGIA;NA;sud;16;NA;Italy
695;16263;Trevico;15.23333;41.06;1085;NA;1085;CAMPANIA;16263;1;TREVICO;AVELLINO;NA;sud;15;NA;Italy
696;16270;Bari/Palese Macchie;16.78333;41.13;34;NA;34;PUGLIA;16270;1;BARI;BARI;NA;sud;16;NA;Italy
697;16280;Ponza;12.95;40.92;184;NA;184;LAZIO;16280;1;PONZA;LATINA;NA;centro;12;NA;Italy
698;16289;Napoli/Capodichino;14.3;40.86;88;NA;88;CAMPANIA;16289;1;NAPOLI;NAPOLI;NA;sud;15;NA;Italy
699;16294;Capri;14.2;40.55;160;NA;160;CAMPANIA;16294;1;ANACAPRI;NAPOLI;NA;sud;15;NA;Italy
700;16300;Potenza;15.8;40.63;823;NA;823;BASILICATA;16300;1;POTENZA;POTENZA;NA;sud;17;NA;Italy
701;16310;Capo Palinuro;15.28333;40.03;184;NA;184;CAMPANIA;16310;1;CENTOLA;SALERNO;NA;sud;15;NA;Italy
702;16312;Gioia del Colle;16.93333;40.77;345;NA;345;PUGLIA;16312;1;GIOIA DEL COLLE;BARI;NA;sud;16;NA;Italy
703;16316;Latronico;16.01667;40.08;888;NA;888;BASILICATA;16316;1;LATRONICO;POTENZA;NA;sud;17;NA;Italy
704;16320;Brindisi;17.95;40.65;15;NA;15;PUGLIA;16320;1;BRINDISI;BRINDISI;NA;sud;16;NA;Italy
705;16324;Grottaglie;17.4;40.52;64;NA;64;PUGLIA;16324;1;GROTTAGLIE;TARANTO;NA;sud;16;NA;Italy
706;16325;Marina di Ginosa;16.88333;40.44;2;NA;2;PUGLIA;16325;1;GINOSA;TARANTO;NA;sud;16;NA;Italy
707;16332;Lecce;18.15;40.23;48;NA;48;PUGLIA;16332;1;GALATINA;LECCE;NA;sud;16;NA;Italy
708;16337;Bonifati;15.88333;39.59;484;NA;484;CALABRIA;16337;1;BONIFATI;COSENZA;NA;sud;18;NA;Italy
709;16344;Monte Scuro;16.4;39.33;1710;NA;1710;CALABRIA;16344;1;CELICO;COSENZA;NA;sud;18;NA;Italy
710;16350;Crotone;17.06667;39;155;NA;155;CALABRIA;16350;1;ISOLA DI CAPO RIZZUTO;CROTONE;NA;sud;18;NA;Italy
711;16360;S. Maria di Leuca;18.35;39.82;104;NA;104;PUGLIA;16360;1;CASTRIGNANO DEL CAPO;LECCE;NA;sud;16;NA;Italy
712;16362;Lamezia Terme;16.25;38.9;15;NA;15;CALABRIA;16362;1;LAMEZIA TERME;CATANZARO;NA;sud;18;NA;Italy
713;16400;Ustica;13.18333;38.71;250;NA;250;SICILIA;16400;1;USTICA;PALERMO;NA;sud;19;NA;Italy
714;16405;Palermo/Punta Raisi;13.1;38.18;21;NA;21;SICILIA;16405;1;CINISI;PALERMO;NA;sud;19;NA;Italy
715;16410;Palermo/Boccadifalco;13.3;38.1;107;NA;107;SICILIA;16410;1;MONREALE;PALERMO;NA;sud;19;NA;Italy
717;16420;Messina;15.55;38.21;59;NA;59;SICILIA;16420;1;MESSINA;MESSINA;NA;sud;19;NA;Italy
718;16422;Reggio Calabria;15.65;38.07;11;NA;11;CALABRIA;16422;1;REGGIO CALABRIA;REGGIO CALABRIA;NA;sud;18;NA;Italy
719;16429;Trapani/Birgi;12.5;37.92;7;NA;7;SICILIA;16429;1;MARSALA;TRAPANI;NA;sud;19;NA;Italy
720;16434;Prizzi;13.43333;37.72;1034;NA;1034;SICILIA;16434;1;PRIZZI;PALERMO;NA;sud;19;NA;Italy
721;16450;Enna;14.28333;37.57;940;NA;940;SICILIA;16450;1;ENNA;ENNA;NA;sud;19;NA;Italy
722;16453;Gela;14.21667;37.08;11;NA;11;SICILIA;16453;1;GELA;CALTANISSETTA;NA;sud;19;NA;Italy
