SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;COD_RETE
9044;08BOBBIANO;BOBBIANO;9.49014;44.87678;507;NA;507;Emilia;15
9045;08BOBBIO;BOBBIO;9.38367;44.75512;364;NA;364;Emilia;15
9046;08BOCCOLONOCE;BOCCOLONOCE;9.63578;44.68404;810;NA;810;Emilia;15
9047;08BOGLI;BOGLI;9.21889;44.63334;854;NA;854;Emilia;15
9048;08BOLOGNASLUCA;BOLOGNASLUCA;11.29834;44.47872;203;NA;203;Emilia;15
9049;08BOLOGNAUFFID;BOLOGNAUFFID;11.34614;44.4999;45;NA;45;Emilia;15
9050;08BOLOGNAURB;BOLOGNAURB;11.3392;44.48741;73;NA;73;Emilia;15
9051;08BOMBIANA;BOMBIANA;10.97365;44.21439;778;NA;778;Emilia;15
9052;08BORE;BORE;9.78828;44.71423;758;NA;758;Emilia;15
9053;08BORETTO;BORETTO;10.56027;44.90601;21;NA;21;Emilia;15
9054;08BORGONOVOVT;BORGONOVOVT;9.44333;45.01727;106;NA;106;Emilia;15
9055;08BORGOTARO;BORGOTARO;9.84203;44.5142;435;NA;435;Emilia;15
9056;08BORGOTOSSIGIDRO;BORGOTOSSIGIDRO;11.57897;44.27468;157;NA;157;Emilia;15
9057;08BORGOTOSSIGNANO;BORGOTOSSIGNANO;11.5935;44.28316;136;NA;136;Emilia;15
9058;08BOSCHIAVETO;BOSCHIAVETO;9.41993;44.58591;757;NA;757;Emilia;15
9059;08BOSCHIDIBARDONE;BOSCHIDIBARDONE;10.0858;44.63404;480;NA;480;Emilia;15
9060;08BOSCHIDICARREGA;BOSCHIDICARREGA;10.20671;44.72342;190;NA;190;Emilia;15
9061;08BOSCOCENTRALE;BOSCOCENTRALE;10.04389;44.44473;860;NA;860;Emilia;15
9062;08BOSCOCORNIGLIO;BOSCOCORNIGLIO;10.03351;44.43902;849;NA;849;Emilia;15
9063;08BOVAJA;BOVAJA;10.18556;44.65001;287;NA;287;Emilia;15
9064;08BRASIMONEDIGA;BRASIMONEDIGA;11.11776;44.12909;956;NA;956;Emilia;15
9065;08BRISIGHELLA;BRISIGHELLA;11.77549;44.22289;85;NA;85;Emilia;15
9066;08BRISIGHELLAAGRO;BRISIGHELLAAGRO;11.75186;44.21658;198;NA;198;Emilia;15
9067;08BUSSETO;BUSSETO;10.0358;44.98405;40;NA;40;Emilia;15
9068;08CABORTOLANI;CABORTOLANI;11.08453;44.34682;603;NA;603;Emilia;15
9069;08CADECAROLI;CADECAROLI;10.67687;44.5955;101;NA;101;Emilia;15
9070;08CAFRAGNAORATOR;CAFRAGNAORATOR;10.16913;44.68404;248;NA;248;Emilia;15
9071;08CALDERARARENO;CALDERARARENO;11.27214;44.56613;31;NA;31;Emilia;15
9072;08CALESTANO;CALESTANO;10.1245;44.60593;400;NA;400;Emilia;15
9073;08CAMPEGINE;CAMPEGINE;10.53582;44.78404;30;NA;30;Emilia;15
9074;08CAMPELLIVIGOLO;CAMPELLIVIGOLO;9.6336;44.79552;601;NA;601;Emilia;15
9075;08CAMPIGNA;CAMPIGNA;11.74716;43.87222;1034;NA;1034;Emilia;15
9076;08CAMPORASASSO;CAMPORASASSO;10.27553;44.52124;644;NA;644;Emilia;15
9077;08CAMSEAGRO;CAMSEAGRO;12.07735;44.60018;3;NA;3;Emilia;15
9078;08CANOSSA;CANOSSA;10.4658;44.5659;471;NA;471;Emilia;15
9079;08CANOVA;CANOVA;10.30195;44.41445;775;NA;775;Emilia;15
9080;08CARENO;CARENO;9.91889;44.71667;583;NA;583;Emilia;15
9081;08CARPI;CARPI;10.86923;44.76356;27;NA;27;Emilia;15
9082;08CARPINETI;CARPINETI;10.49533;44.4679;580;NA;580;Emilia;15
9083;08CARPINETIAGRO;CARPINETIAGRO;10.5039;44.47007;541;NA;541;Emilia;15
9084;08CARZETO;CARZETO;10.43556;44.93333;24;NA;24;Emilia;15
9085;08CASALECCHIOCANA;CASALECCHIOCANA;11.28108;44.47564;62;NA;62;Emilia;15
9086;08CASALECCHIOCANO;CASALECCHIOCANO;11.2881;44.48789;66;NA;66;Emilia;15
9087;08CASALECCHIOVOLO;CASALECCHIOVOLO;11.28205;44.48024;62;NA;62;Emilia;15
9088;08CASALEVALTARO;CASALEVALTARO;9.56889;44.45;708;NA;708;Emilia;15
9089;08CASALPORINO;CASALPORINO;9.54736;44.52713;873;NA;873;Emilia;15
9090;08CASANOVAMARZOLA;CASANOVAMARZOLA;10.2;44.63139;552;NA;552;Emilia;15
9091;08CASANUOVA;CASANUOVA;10.18331;44.70859;189;NA;189;Emilia;15
9092;08CASANUOVASVITAL;CASANUOVASVITAL;10.18556;44.66667;293;NA;293;Emilia;15
9093;08CASAROLA;CASAROLA;10.10222;44.43334;934;NA;934;Emilia;15
9094;08CASASELVATICA;CASASELVATICA;10.03562;44.54783;901;NA;901;Emilia;15
9095;08CASEBONINI;CASEBONINI;9.77584;44.75199;372;NA;372;Emilia;15
9096;08CASONI;CASONI;9.48068;44.43753;814;NA;814;Emilia;15
9097;08CASONIROMAGNA;CASONIROMAGNA;11.42533;44.25362;663;NA;663;Emilia;15
9098;08CASSANO;CASSANO;9.61889;44.83334;403;NA;403;Emilia;15
9099;08CASSIMORENO;CASSIMORENO;9.57932;44.63618;869;NA;869;Emilia;15
9100;08CASSIO;CASSIO;10.0358;44.58404;865;NA;865;Emilia;15
9101;08CASTELDELRIO;CASTELDELRIO;11.50489;44.2112;214;NA;214;Emilia;15
9102;08CASTELLANA;CASTELLANA;9.73639;44.81111;336;NA;336;Emilia;15
9103;08CASTELLANAGROP;CASTELLANAGROP;9.73578;44.80072;327;NA;327;Emilia;15
9104;08CASTELLARANO;CASTELLARANO;10.71864;44.49811;183;NA;183;Emilia;15
9105;08CASTELLARQUATO;CASTELLARQUATO;9.86912;44.85071;163;NA;163;Emilia;15
9106;08CASTELNOVOAGRO;CASTELNOVOAGRO;10.57222;44.83374;24;NA;24;Emilia;15
9107;08CASTELNOVOMONTI;CASTELNOVOMONTI;10.39469;44.43489;709;NA;709;Emilia;15
9108;08CASTELNUOVORANG;CASTELNUOVORANG;10.93268;44.54131;92;NA;92;Emilia;15
9109;08CASTELSPIETRO;CASTELSPIETRO;11.58838;44.38104;88;NA;88;Emilia;15
