SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;SiteName.serieRecente;SiteNameAnnale;FullSiteCode;localita;comune;provincia;State;Comments
611;611;Sorti;12.95284;43.119808;660;NA;660;Marche;Sorti;Sorti;OD:611;Sorti;Sefro;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
612;612;Serravalle del Chienti;12.9175;43.030556;754;NA;754;Marche;Serravalle del Chienti;Serravalle del Chienti;OD:612;Taverne;Serravalle di Chienti;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
613;613;Baraccola;13.523889;43.574444;52;NA;52;Marche;Baraccola;Baraccola;OD:613;Passo Varano - Centro Funzionale;Ancona;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
614;614;Tavoleto;12.590949;43.843399;405;NA;405;Marche;Tavoleto;Tavoleto;OD:614;Via Gurka;Tavoleto;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
615;615;San Lorenzo in Campo;12.953333;43.605;160;NA;160;Marche;San Lorenzo in Campo;San Lorenzo in Campo;OD:615;Via Zara;San Lorenzo in Campo;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
616;616;Apiro;13.07954;43.36842;580;NA;580;Marche;Apiro;Apiro;OD:616;Capoluogo;Poggio San Vicino;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
617;617;Tolentino;13.29552;43.209221;191;NA;191;Marche;Tolentino;Tolentino;OD:617;Via Caduti di Nassiriya;Tolentino;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
618;618;Barbara;13.029075;43.580269;186;NA;186;Marche;Barbara;Barbara;OD:618;Via XXV Aprile;Barbara;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
620;620;Acquasanta Terme;13.408965;42.768318;393;NA;393;Marche;Acquasanta Terme;Acquasanta Terme;OD:620;Via Salaria - Parco Rio Acquasanta;Acquasanta Terme;AP;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
621;621;Piagge;12.96924;43.737499;189;NA;189;Marche;Piagge;Piagge;OD:621; ;Piagge;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
701;701;Ancona Torrette;13.449807;43.610954;5;NA;5;Marche;Ancona Torrette;Ancona Torrette;OD:701;Torrette di Ancona;Ancona;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
702;702;Carpegna;12.340618;43.780575;715;NA;715;Marche;Carpegna;Carpegna;OD:702; ;Carpegna;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
703;703;Amatrice;13.296259;42.625565;954;NA;954;Lazio;Amatrice;Amatrice;OD:703; ;Amatrice;RI;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
704;704;Capannina Poggio San Vicino;13.07954;43.36842;580;NA;580;Marche;Capannina Poggio San Vicino;Capannina Poggio San Vicino;OD:704; ;Poggio San Vicino;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
705;705;Corinaldo;13.046379;43.660507;218;NA;218;Marche;Corinaldo;Corinaldo;OD:705; ;Corinaldo;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
706;706;Urbania;12.551855;43.652973;245;NA;245;Marche;Urbania;Urbania;OD:706; ;Urbania;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
707;707;Cantiano;12.640526;43.467068;396;NA;396;Marche;Cantiano;Cantiano;OD:707; ;Cantiano;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
708;708;Diga di Carassai;13.645953;43.025967;330;NA;330;Marche;Diga di Carassai;Diga di Carassai;OD:708; ;Carassai;AP;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
711;711;Acquasanta;13.408965;42.768318;393;NA;393;Marche;Acquasanta;Acquasanta;OD:711; ;Acquasanta Terme;AP;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
712;712;Pianello;12.553353;43.512161;400;NA;400;Marche;Pianello;Pianello;OD:712;Pianello;Cagli;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
713;713;Pioraco;12.973331;43.181114;445;NA;445;Marche;Pioraco;Pioraco;OD:713; ;Pioraco;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
714;714;Sassoferrato;12.856347;43.424988;386;NA;386;Marche;Sassoferrato;Sassoferrato;OD:714; ;Sassoferrato;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
